fecha,valor
11-09-24,1230.16
12-09-24,1239.48
13-09-24,1226.53
14-09-24,1226.53
15-09-24,1226.53
16-09-24,1215.72
17-09-24,1214.04
18-09-24,1206.72
19-09-24,1197.74
20-09-24,1200.10
21-09-24,1200.10
22-09-24,1200.10
23-09-24,1204.57
24-09-24,1202.13
25-09-24,1209.79
26-09-24,1210.95
27-09-24,1207.75
28-09-24,1207.75
29-09-24,1207.75
30-09-24,1215.03
01-10-24,1220.07
02-10-24,1207.51
03-10-24,1191.74
04-10-24,1187.52
05-10-24,1187.52
06-10-24,1187.52
07-10-24,1184.07
08-10-24,1169.54
09-10-24,1147.40
10-10-24,1134.84
11-10-24,1134.84
12-10-24,1134.84
13-10-24,1134.84
14-10-24,1143.88
15-10-24,1139.91
16-10-24,1159.89
17-10-24,1159.60
18-10-24,1159.05
19-10-24,1159.05
20-10-24,1159.05
21-10-24,1167.91
22-10-24,1161.97
23-10-24,1161.99
24-10-24,1160.00
25-10-24,1141.81
26-10-24,1141.81
27-10-24,1141.81
28-10-24,1134.18
29-10-24,1138.18
30-10-24,1138.32
31-10-24,1131.46
01-11-24,1146.17
02-11-24,1146.17
03-11-24,1146.17
04-11-24,1151.54
05-11-24,1153.50
06-11-24,1145.69
07-11-24,1135.99
08-11-24,1130.20
09-11-24,1130.20
10-11-24,1130.20
11-11-24,1131.23
12-11-24,1124.40
13-11-24,1121.11
14-11-24,1105.75
15-11-24,1096.02
16-11-24,1096.02
17-11-24,1096.02
18-11-24,1096.02
19-11-24,1075.12
20-11-24,1074.86
21-11-24,1078.95
22-11-24,1080.40
23-11-24,1080.40
24-11-24,1080.40
25-11-24,1077.58
26-11-24,1076.12
27-11-24,1074.61
28-11-24,1075.15
29-11-24,1075.76
30-11-24,1075.76
01-12-24,1075.76
02-12-24,1068.89
03-12-24,1075.65
04-12-24,1076.34
05-12-24,1062.16
06-12-24,1049.33
07-12-24,1049.33
08-12-24,1049.33
09-12-24,1049.31
10-12-24,1060.52
11-12-24,1057.72
12-12-24,1058.21
13-12-24,1073.08
14-12-24,1073.08
15-12-24,1073.08
16-12-24,1100.27
17-12-24,1145.26
18-12-24,1131.22
19-12-24,1131.19
20-12-24,1142.20
21-12-24,1142.20
22-12-24,1142.20
23-12-24,1162.30
24-12-24,1160.97
25-12-24,1160.97
26-12-24,1170.89
27-12-24,1170.56
28-12-24,1170.56
29-12-24,1170.56
30-12-24,1170.41
31-12-24,1170.41
01-01-25,1170.41
02-01-25,1162.12
03-01-25,1165.88
04-01-25,1165.88
05-01-25,1165.88
06-01-25,1165.09
07-01-25,1164.37
08-01-25,1164.72
09-01-25,1164.19
10-01-25,1164.01
11-01-25,1164.01
12-01-25,1164.01
13-01-25,1163.21
14-01-25,1162.93
15-01-25,1164.05
16-01-25,1166.03
17-01-25,1165.84
18-01-25,1165.84
19-01-25,1165.84
20-01-25,1165.90
21-01-25,1167.61
22-01-25,1172.67
23-01-25,1167.35
24-01-25,1155.75
25-01-25,1155.75
26-01-25,1155.75
27-01-25,1162.22
28-01-25,1161.38
29-01-25,1163.36
30-01-25,1164.89
31-01-25,1164.79
01-02-25,1164.79
02-02-25,1164.79
03-02-25,1178.82
04-02-25,1188.00
05-02-25,1191.94
06-02-25,1189.03
07-02-25,1194.47
08-02-25,1194.47
09-02-25,1194.47
10-02-25,1184.07
11-02-25,1180.85
12-02-25,1186.35
13-02-25,1187.89
14-02-25,1183.88
15-02-25,1183.88
16-02-25,1183.88
17-02-25,1210.09
18-02-25,1203.16
19-02-25,1201.86
20-02-25,1206.06
21-02-25,1205.88
22-02-25,1205.88
23-02-25,1205.88
24-02-25,1207.48
25-02-25,1211.96
26-02-25,1211.56
27-02-25,1215.29
28-02-25,1228.48
01-03-25,1228.48
02-03-25,1228.48
03-03-25,1228.48
04-03-25,1228.48
05-03-25,1235.31
06-03-25,1237.86
07-03-25,1221.93
08-03-25,1221.93
09-03-25,1221.93
10-03-25,1228.92
11-03-25,1230.38
12-03-25,1229.34
13-03-25,1233.55
14-03-25,1237.78
15-03-25,1237.78
16-03-25,1237.78
17-03-25,1250.59
18-03-25,1299.32
19-03-25,1286.38
20-03-25,1287.59
21-03-25,1287.22
22-03-25,1287.22
23-03-25,1287.22
24-03-25,1287.22
25-03-25,1294.30
26-03-25,1295.63
27-03-25,1292.99
